"","hashtags6","Freq"
"1","China",0.012119209661274
"2","HongKong",0.00926606050616027
"3","GeorgeFloyd",0.00492988120818339
"4","lockdown",0.00467907644083542
"5","Chinas",0.00349804071021836
"6","CCP",0.00340913237960575
"7","BREAKING",0.00332389794695234
"8","StayHome",0.00293764880817526
"9","ー19",0.00281738988164415
"10","MinneapolisRiot",0.00269051793878649
"11","ExecutiveOrder",0.00265034998776592
"12","India",0.00240101477960164
"13","Lockdown",0.00209069286531466
"14","SeanReed",0.00194863547755897
"15","anonymous",0.00175538844490512
"16","pandemic",0.00165349900817001
"17","StandWithHongKong",0.00154524148163896
"18","1",0.00143355498367932
"19","BlackLivesMatter",0.00140293916735267
"20","Trump",0.00139730585714856
"21","SARSCoV2",0.00135640312653615
"22","SocialDistancing",0.00130423377551553
"23","Covid",0.00129933524490326
"24","IndiaFights",0.0012797411224542
"25","HongKongs",0.0011594821959231
"26","covid",0.00113645910204546
"27","KillerCuomo",0.00111025196326984
"28","US",0.00108208541224931
"29","Virus",0.00106616518775945
"30","DominicCummings",0.000989748110208121
"31","Cummings",0.000952274351024295
"32","Taiwan",0.000938068612248727
"33","Ladakh",0.000924597653064998
"34","Chinese",0.000898390514289381
"35","Anonymous",0.000885654334697492
"36","Breaking",0.000843771897962628
"37","Pandemic",0.00083568932245239
"38","riots2020",0.00081903431837069
"39","stayhome",0.000803848873472669
"40","StayAtHome",0.000784254751023609
"41","Uyghur",0.000767599746941909
"42","NowPlaying",0.000760007024492898
"43","FactsAreFriendly",0.000745556359186717
"44","Wuhan",0.000743107093880584
"45","InnerEngineeringOnline",0.00073747378367648
"46","C4News",0.000731105693880535
"47","USA",0.000709062306125343
"48","WHO",0.000702939142860012
"49","C",0.000661056706125147
"50","laddakh",0.000655178469390429
"51","UK",0.000653953836737363
"52","NationalSecurityLaw",0.000647830673472032
"53","Anghami",0.000639748097961795
"54","ScumMedia",0.000630440889798492
"55","Minneapolis",0.000604233751022874
"56","china",0.000601784485716742
"57","cor",0.000601784485716742
"58","XiJinping",0.000600804779594289
"59","Iran",0.000586843967349334
"60","BoycottMadeInChina",0.000582925142859522
"61","GeorgeF",0.000574107787757445
"62","Pakistan",0.000552309326532867
"63","NationalSe",0.000516794979593946
"64","AksaiChin",0.000498915342859179
"65","socialdistancing",0.000498915342859179
"66","MannKiBaat",0.000476382102042761
"67","Tibet",0.000470748791838656
"68","Beijing",0.000469769085716203
"69","COV",0.000467809673471297
"70","PLDTHacked",0.000461931436736579
"71","TrumpDeathToll100K",0.000459237244899834
"72","covid19",0.000456543053063088
"73","protests2020",0.000450909742858983
"74","staysafe",0.000449195257144691
"75","StayAlert",0.000447725697961011
"76","2",0.00044160253469568
"77","COVI",0.000434989518369122
"78","QuarantineLife",0.000434744591838509
"79","StaySafe",0.000433519959185443
"80","IndiaChinaFaceOff",0.000427396795920112
"81","FactCheck",0.000426417089797659
"82","Lockdown5",0.000422253338777234
"83","business",0.00041441568979761
"84","CDC",0.000412701204083317
"85","GeorgeFloydProtests",0.000411476571430251
"86","NHS",0.000403638922450627
"87","SpeakUpIndia",0.000394576640817937
"88","ChineseVirus",0.000392862155103644
"89","Gujarat",0.000392127375511805
"90","Israel",0.000371308620409679
"91","FakeNews",0.000370573840817839
"92","AI",0.000362491265307602
"93","Dumbledore",0.000362001412246376
"94","ChinaVirus",0.00035930722040963
"95","Europe",0.000359062293879017
"96","DelayUHSsupplyExams",0.000358327514287177
