"","hashtags","Freq"
"1","lockdown",0.0756350309835794
"2","China",0.012119209661274
"3","Virus",0.0121111443679537
"4","Trump",0.0116706970259378
"5","BREAKING",0.0106475107253317
"6","StayAlert",0.00993664571485583
"7","ChineseVirus",0.00926606050616027
"8","WhiteHouse",0.00910555721839769
"9","StayHome",0.0090065264557004
"10","MothersDay",0.00812152942548763
"11","1",0.0080330240446972
"12","lockdownuk",0.00694642746505759
"13","ー19",0.00622917290232465
"14","pandemic",0.00609061804446101
"15","India",0.00606767192592152
"16","C",0.00582637299591488
"17","IndiaFights",0.00556354621663512
"18","SARSCoV2",0.00519675429569857
"19","BorisJohnson",0.00494712162027337
"20","COVI",0.00492988120818339
"21","Plandemic",0.00486724116865015
"22","Lockdown",0.00478599221789883
"23","NationalNursesDay",0.00472999083437847
"24","CCP",0.00467907644083542
"25","UK",0.00461451462875305
"26","Pandemic",0.00455003491968472
"27","ObamaGate",0.00445724832884366
"28","WHO",0.00444693846356789
"29","Iran",0.00433973286542557
"30","IOTS",0.00432193234180932
"31","StayAtHome",0.00420928029642485
"32","PPE",0.00418836675646014
"33","CO",0.00410555721839769
"34","FactsAreFriendly",0.00407911802853437
"35","US",0.0040616683452439
"36","Torkham",0.00404187168408879
"37","COV",0.00396549150471046
"38","FakeNews",0.00392050044014514
"39","MassTestingNowPH",0.00391802959460789
"40","lockdownextension",0.00382370547740198
"41","Chinas",0.00379925732727524
"42","HongKong",0.00378429611892647
"43","60Minutes",0.00378254763069694
"44","StayHomeSaveLives",0.00377062189716219
"45","EndGazaBlockade",0.00374736932211106
"46","ExposeCBS",0.0037438890551731
"47","NationalDayOfPrayer",0.00370348199141973
"48","CDC",0.00359229161176163
"49","Metoo",0.00349804071021836
"50","NationalDayofPrayer",0.00340913237960575
"51","SocialDistancing",0.00339654655013255
"52","NHS",0.00338471515514317
"53","Odisha",0.00337623466028135
"54","c",0.0033631568698478
"55","BackToLifeWithCare",0.0033391042802197
"56","Pakistan",0.00332389794695234
"57","USA",0.00332288439850809
"58","FLYNN",0.00329236937594255
"59","TrumpDepression",0.00326813334620927
"60","N95",0.0032379440813925
"61","Covid",0.0032119802255924
"62","SmartNews",0.00318766836276564
"63","Wuhan",0.00316533355762378
"64","Taiwan",0.00315930526358374
"65","VEDay",0.00295615707950095
"66","VEDay75",0.00294173401177292
"67","vaccine",0.00293764880817526
"68","TakeResponsibility",0.00291230170607603
"69","Fauci",0.0028631432597621
"70","Germany",0.00286292801374768
"71","E",0.00284680462231249
"72","Co",0.00281738988164415
"73","s",0.00279947707097443
"74","T",0.00276398594325685
"75","auspol",0.00270186919090336
"76","EuropeDay",0.00269051793878649
"77","MAGA",0.00268760576387852
"78","health",0.00265791103214795
"79","CCPVirus",0.00265034998776592
"80","extendlockdown",0.00260351192257807
"81","co",0.00257963470529977
"82","Nigeria",0.00253816222687818
"83","StayHomeStaySafe",0.00252015239289872
"84","NursesWeek",0.00248183267788211
"85","RT",0.00247159156342195
"86","POLL",0.00245585154145465
"87","Delhi",0.00244225407357485
"88","Turkeys",0.00240101477960164
"89","Spain",0.00238243381430758
"90","Hydroxychloroquine",0.0023663904889587
"91","ICYMI",0.00236522350901511
"92","Moth",0.00235816484724886
"93","StaySafe",0.00234809937144567
"94","covid",0.00232209696027812
"95","coron",0.00232209000663753
"96","Outbreak",0.00230240772885359
"97","FoxNews",0.00228773820213509
"98","Africa",0.00228565685414385
"99","mentalhealth",0.0022747680335229
"100","Brexit",0.00226578868602215
"101","CNN",0.00226489676778769
"102","news",0.00225640344036626
"103","6",0.00222588047490771
"104","Ramadan",0.00218892055269511
"105","Russia",0.002187967674349
"106","hydroxychloroquine",0.00218545242089791
"107","EU",0.00216121845093525
"108","MODIJIHelpUs",0.0021596549946016
"109","AI",0.0021394124351747
"110","Warrior",0.00213411103934242
"111","WATCH",0.00212149828198841
"112","UPDATE",0.00212062256809339
"113","healthcare",0.00211829867388273
"114","giveaway",0.00209176547937863
"115","TrumpVirus",0.00209069286531466
"116","stayhome",0.00205577172503243
"117","NYC",0.00203330623626397
"118","socialdistancing",0.00202085204030729
"119","Breaking",0.00198079093442661
"120","IOT",0.00194863547755897
"121","Irans",0.00191359872293724
"122","Warriors",0.00188447340484561
"123","EhsaasEmergencyCash",0.00188203950934468
"124","vi",0.00188067444876783
"125","BHAFC",0.00186221690112741
"126","Kerala",0.00184887779608741
"127","UtiliseLockdownWisely",0.00184187760704246
"128","Canada",0.00181981442681832
"129","NewYork",0.00181831786890153
"130","economy",0.00180883966876185
"131","Taiwans",0.00180285343709468
"132","Italy",0.00179024973460333
"133","staysafe",0.00175538844490512
"134","trump",0.0017382509706273
"135","cor",0.00173223854528313
"136","AhmaudArbery",0.00172959778976993
"137","BillGates",0.00172852439389404
"138","Israel",0.00170409589841443
"139","rumours",0.00169844633868342
"140","Maharashtra",0.00168910090335747
