"","hashtags3","Freq"
"1","India",0.00609061804446101
"2","China",0.00582637299591488
"3","COV",0.00444693846356789
"4","lockdown",0.00433973286542557
"5","BREAKING",0.0040616683452439
"6","ー19",0.00391802959460789
"7","InternationalNursesDay",0.00377062189716219
"8","ObamaGate",0.0033631568698478
"9","CAA",0.0032379440813925
"10","Virus",0.0032119802255924
"11","WhiteHouse",0.0028631432597621
"12","StayAtHome",0.00257963470529977
"13","1",0.00247159156342195
"14","pandemic",0.00236522350901511
"15","48",0.00232209000663753
"16","Trump",0.00230240772885359
"17","C",0.00228565685414385
"18","Fauci",0.00218892055269511
"19","StayHome",0.00212149828198841
"20","HelpfulTipsToBeat",0.00209176547937863
"21","StayAlert",0.00198079093442661
"22","impeachment",0.00188447340484561
"23","SARSCoV2",0.00184887779608741
"24","IndiaFights",0.00179024973460333
"25","131",0.00168639431140295
"26","TrumpHasNoPlan",0.00152977363286689
"27","MigrantWorkers",0.00151302275815715
"28","CO",0.00146318890589568
"29","Wuhan",0.00146109504655696
"30","COVI",0.00136980277938889
"31","Lockdown",0.00136854646378566
"32","KillerCuomo",0.00127390402167563
"33","Iran",0.00126050332190784
"34","MoscowMitchMcConnell",0.00122574525688513
"35","Pandemic",0.00121569473205929
"36","DemocratFraud",0.00113738439279126
"37","Chinas",0.0011223086055525
"38","کامکوچلوکوروناسےبچو",0.00111644579940409
"39","UK",0.00110681404644599
"40","OBAMAGATE",0.00107791878757169
"41","ArrestSambitPatra",0.00106200545659744
"42","CCP",0.00105027984430062
"43","vaccine",0.00104567335375544
"44","60Minutes",0.0010452545818877
"45","HeroesAct",0.0010452545818877
"46","WHO",0.00101845318235212
"47","MoscowMitch",0.00101091528873273
"48","coron",0.00099123301094879
"49","s",0.000957731261529313
"50","Taiwans",0.000930092318258244
"51","US",0.000927579687051783
"52","MadagascarCure",0.000905384778061379
"53","Obamagate",0.000882771097203232
"54","co",0.000862670047551546
"55","NHS",0.000840056366693398
"56","mentalhealth",0.000838800051090168
"57","PPE",0.000823724263851403
"58","QAnon",0.000793991461241617
"59","CDC",0.000778915674002852
"60","SocialDistancing",0.000770540236647982
"61","GoodNewsOfTheDay",0.000768865149177009
"62","SmartNews",0.000756720765012448
"63","Torkham",0.000726150418667175
"64","Taiwan",0.00072321901559297
"65","Plandemic",0.000722800243725227
"66","USA",0.000722800243725227
"67","IOTS",0.000722381471857484
"68","FoxNews",0.000716099893841332
"69","PoliceWeek",0.000708562000221949
"70","health",0.000695998844189645
"71","Nigeria",0.000685948319363802
"72","Irans",0.000685529547496058
"73","Trump2020",0.000684273231892828
"74","BorisJohnson",0.000672966391463754
"75","obamagate",0.000665847269712115
"76","TrumpDeathToll81K",0.000662915866637911
"77","MAGA",0.000651609026208837
"78","ClimateChange",0.000640720957647507
"79","c",0.000637789554573303
"80","FakeNews",0.000608056751963517
"81","ContactTracers",0.000605962892624799
"82","StaySafe",0.000603869033286082
"83","water",0.000601356402079621
"84","Pakistan",0.000599262542740904
"85","AFP",0.000579161493089217
"86","MothersDay",0.000572879915073065
"87","Africa",0.000567017108924657
"88","covid",0.000565760793321426
"89","CCPVirus",0.000557385355966557
"90","v",0.000556966584098813
"91","AI",0.000553197637289122
"92","Palestine",0.000539378165653588
"93","WWG1WGA",0.00053602799071164
"94","Breaking",0.000532259043901949
"95","TrumpGate",0.000528490097092258
"96","r4today",0.000524302378414823
"97","palestine",0.000520952203472875
"98","BillGates",0.000516345712927697
"99","vi",0.000510901678647032
"100","hydroxychloroquine",0.000510482906779288
"101","Covid",0.000509226591176058
"102","ICYMI",0.000500851153821189
"103","PPP",0.000500851153821189
"104","socialdistancing",0.000498757294482471
"105","MentalHealth",0.000498338522614728
"106","news",0.000491638172730832
"107","N95",0.000489963085259858
"108","economy",0.000489125541524371
"109","vir",0.000488287997788885
"110","healthcare",0.00048535659471468
"111","Australia",0.000474887298021094
"112","nurses",0.000469024491872685
"113","Outbreak",0.000464418001327507
"114","KAG2020",0.000460649054517816
"115","stayhome",0.000458973967046842
"116","EU",0.000457717651443611
"117","StayHomeSaveLives",0.000448085898485512
"118","Germany",0.000447667126617768
"119","DrBright",0.000428822392569312
"120","PeoplesVaccine",0.000428822392569312
"121","uk",0.000428403620701568
"122","HIV",0.000426309761362851
